2018-04-02 09:44:17am ::1  localhost/smis/pages/reports/academic_report/st_attendance_report 
2018-04-02 01:00:52pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/exam/assessment_setting/add_assessment 
2018-04-02 01:00:53pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/exam/assessment_setting 
2018-04-02 01:01:12pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/exam/assessment_setting/add_assessment 
2018-04-02 01:01:12pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/exam/assessment_setting 
2018-04-02 01:01:27pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/exam/assessment_setting/add_assessment 
2018-04-02 01:01:27pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/exam/assessment_setting 
2018-04-02 01:01:52pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/exam/assessment_setting/add_assessment 
2018-04-02 01:01:53pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/exam/assessment_setting 
2018-04-02 01:03:45pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/exam/assessment_setting/add_assessment 
2018-04-02 01:03:45pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/exam/assessment_setting 
2018-04-02 01:04:00pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/exam/assessment_setting/add_assessment 
2018-04-02 01:04:00pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/exam/assessment_setting 
2018-04-02 01:04:20pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/exam/assessment_setting/add_assessment 
2018-04-02 01:04:20pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/exam/assessment_setting 
2018-04-02 01:04:37pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/exam/assessment_setting/add_assessment 
2018-04-02 01:04:37pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/exam/assessment_setting 
2018-04-02 01:04:50pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/exam/assessment_setting/add_assessment 
2018-04-02 01:04:50pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/exam/assessment_setting 
2018-04-02 01:05:26pm 192.168.1.109  192.168.1.109/smis/pages/classes/lession_plan/course_pointer/1303 
2018-04-02 01:05:37pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/exam/assessment_setting/add_assessment 
2018-04-02 01:05:37pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/exam/assessment_setting 
2018-04-02 01:06:02pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/exam/assessment_setting/add_assessment 
2018-04-02 01:06:02pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/exam/assessment_setting 
