2018-04-05 12:25:56pm ::1 satishm localhost/smis/pages/reports/academic_report/student_evaluation_overall 
2018-04-05 12:26:02pm ::1 satishm localhost/smis/pages/reports/academic_report/list_student/13 
2018-04-05 01:32:09pm 192.168.1.11 satishm 192.168.1.109/smis/pages/profile/student/details/1235 
2018-04-05 03:04:05pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/home 
2018-04-05 03:04:09pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/reports/academic_report/student_evaluation_overall 
2018-04-05 03:04:16pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/reports/academic_report/list_student/13 
2018-04-05 03:04:26pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/ajax/sst_evaluation?exam_id=2&st_id=1214&subject_id=122 
2018-04-05 03:04:38pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/ajax/st_evaluation?exam_id=2&st_id=1214&section_id=13 
2018-04-05 03:04:51pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/ajax/st_appraisal?exam_id=2&st_id=1214&section_id=13 
2018-04-05 04:23:39pm ::1  localhost/smis/theme_option/manage_menu 
2018-04-05 04:23:42pm ::1 satishm localhost/smis/pages/home 
2018-04-05 04:23:47pm ::1 satishm localhost/smis/theme_option/user_account/lists 
2018-04-05 04:28:52pm 192.168.1.109 subas 192.168.1.109/smis/pages/home 
2018-04-05 04:29:52pm 192.168.1.109 subas 192.168.1.109/smis/pages/home 
2018-04-05 04:34:16pm 192.168.1.109 subas 192.168.1.109/smis/pages/home 
2018-04-05 04:34:32pm 192.168.1.109 subas 192.168.1.109/smis/pages/home 
2018-04-05 04:39:18pm 192.168.1.109 subas 192.168.1.109/smis/pages/home 
2018-04-05 04:39:37pm 192.168.1.109 subas 192.168.1.109/smis/pages/home 
2018-04-05 04:40:09pm 192.168.1.109 subas 192.168.1.109/smis/pages/home 
2018-04-05 04:40:29pm 192.168.1.109 subas 192.168.1.109/smis/pages/home 
2018-04-05 04:46:10pm 192.168.1.109 subas 192.168.1.109/smis/pages/home 
2018-04-05 04:46:30pm 192.168.1.109 subas 192.168.1.109/smis/pages/home 
2018-04-05 04:48:16pm 192.168.1.109 subas 192.168.1.109/smis/pages/home 
2018-04-05 04:48:58pm 192.168.1.109 subas 192.168.1.109/smis/pages/home 
2018-04-05 04:49:52pm 192.168.1.109 subas 192.168.1.109/smis/pages/home 
2018-04-05 04:50:41pm 192.168.1.109 subas 192.168.1.109/smis/pages/home 
2018-04-05 04:50:56pm 192.168.1.109 subas 192.168.1.109/smis/pages/home 
2018-04-05 04:51:10pm 192.168.1.109 subas 192.168.1.109/smis/pages/home 
2018-04-05 04:53:07pm 192.168.1.109 subas 192.168.1.109/smis/pages/home 
2018-04-05 04:53:37pm 192.168.1.109 subas 192.168.1.109/smis/pages/home 
2018-04-05 04:55:24pm 192.168.1.109 subas 192.168.1.109/smis/pages/home 
2018-04-05 04:56:05pm 192.168.1.109 subas 192.168.1.109/smis/pages/home 
2018-04-05 04:56:58pm 192.168.1.109 subas 192.168.1.109/smis/pages/home 
2018-04-05 04:58:08pm 192.168.1.109 subas 192.168.1.109/smis/pages/home 
2018-04-05 04:58:39pm 192.168.1.109 subas 192.168.1.109/smis/pages/home 
2018-04-05 04:58:59pm 192.168.1.109 subas 192.168.1.109/smis/pages/home 
2018-04-05 05:00:30pm 192.168.1.109 subas 192.168.1.109/smis/pages/home 
2018-04-05 05:01:01pm 192.168.1.109 subas 192.168.1.109/smis/pages/home 
2018-04-05 05:01:34pm 192.168.1.109 subas 192.168.1.109/smis/pages/home 
2018-04-05 05:02:13pm 192.168.1.109 subas 192.168.1.109/smis/pages/home 
2018-04-05 05:06:37pm 192.168.1.138 subas 192.168.1.109/smis/pages/home 
